id,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,gx1,gx2,class,ex1,ex2
1,105.2006268,102.0498747,95.72485368,92.18947896,89.8022677,86.46765791,81.53695257,79.56285749,78.61929035,73.59416347,0,1.093863109,2.00106943,3.022203253,4.194027303,5.066253105,5.954114025,7.080389239,7.900076066,9,1.358567633,0.54637694,2,0.200755752,1.43368176
2,99.7278466,90.76095683,87.13658417,79.47793691,76.37165536,70.33492763,69.00867042,63.11875942,60.15116291,53.45161068,0,1.017405012,2.045627637,3.19995696,4.143054552,5.13271804,6.203569491,6.959583189,8.082604262,9,1.165473713,-0.032668015,2,-2.295136107,-1.508441463
3,105.858171,101.3600539,97.5683175,91.51015505,86.76566796,82.64543362,81.02129361,78.07308475,73.79384608,71.43181908,0,0.962458048,1.901233007,3.016817665,3.995416844,5.013934027,5.939275699,6.827416088,7.768075724,9,-2.051560185,-2.289659127,1,-1.127542979,1.949082436
4,96.50151846,93.29191576,89.44141704,83.76617935,80.13145686,76.86202984,78.28879635,73.01547571,69.31514269,67.37004382,0,1.04714227,2.081541644,2.880521496,4.04412183,5.205100521,5.772633916,7.165488279,7.88825118,9,-0.389507544,-0.68601676,1,-0.17051029,1.157735655
5,94.8164014,89.65325253,84.46453531,79.14417893,71.80664558,69.58542805,65.58029406,61.28085709,56.91331642,55.12190383,0,1.069532946,2.062649884,2.987793481,4.243799568,5.014841496,6.122037455,7.083857947,8.24803502,9,0.502635582,1.118124083,1,1.284113536,0.794792766
6,112.5837024,108.7427806,104.0030663,101.5229535,94.72928271,87.86502255,86.77184351,85.0035828,83.19587661,81.91000114,0,0.788576671,1.896063282,2.85379084,4.020841659,5.196496193,5.934513459,6.821424909,7.835098267,9,-0.137850565,0.159943859,2,0.822918443,0.57237535
7,97.27959623,95.73803359,87.76102249,87.10947337,80.2201764,75.06679637,69.85965543,65.42846453,64.70149925,61.63208715,0,1.016520629,2.248292405,2.913674932,3.937805254,4.987876463,5.92972526,7.226214012,8.089473955,9,0.361158899,0.253638202,2,-0.496333083,0.560422727
8,96.92251324,92.51042445,87.63741825,79.60167875,73.18875345,66.92824868,64.64552935,58.0457919,55.38174362,51.9450422,0,0.89981129,2.025612589,3.02969228,3.981846631,5.022225559,5.916786293,6.855543119,7.97226572,9,1.014199001,1.583485414,2,-0.81262781,0.312818584
9,105.9289483,101.7536521,97.5573215,91.54891144,90.4123342,84.42084076,80.32310967,78.24725068,76.54042197,74.58588946,0,0.764741729,2.087262614,3.206081134,4.071336941,5.186374275,6.152763466,7.225133504,8.16844833,9,-0.092803439,2.11354037,2,-0.081449093,-0.227855711
10,103.6859457,96.67631076,89.44942923,85.61177727,80.63112573,75.62245195,72.84489799,68.57102865,64.83056677,62.04938406,0,1.062950687,2.110718207,2.827189296,4.066818463,5.08925835,5.872483393,7.092687857,7.90963049,9,0.478429219,2.011762436,1,-0.296283574,0.035202958
